
WARNING: The TensorFlow contrib module will not be included in TensorFlow 2.0.
For more information, please see:
  * https://github.com/tensorflow/community/blob/master/rfcs/20180907-contrib-sunset.md
  * https://github.com/tensorflow/addons
If you depend on functionality not listed there, please file an issue.

WARNING:tensorflow:From 3rdDeep.py:118: conv2d (from tensorflow.python.layers.convolutional) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.conv2d instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From 3rdDeep.py:123: batch_normalization (from tensorflow.python.layers.normalization) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.batch_normalization instead.
WARNING:tensorflow:From 3rdDeep.py:149: flatten (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.flatten instead.
WARNING:tensorflow:From 3rdDeep.py:157: dense (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.dense instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/ops/losses/losses_impl.py:448: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
Memory Ready
Training Started
2019-04-02 23:27:38.874977: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 3401000000 Hz
2019-04-02 23:27:38.877467: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x7f894ec4ef50 executing computations on platform Host. Devices:
2019-04-02 23:27:38.877542: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
('Episode: 0', 'Total reward: 320.0', 'Training loss: 413.8317', 'Explore P: 0.9696')
('Episode: 113', 'Total reward: 200.0', 'Training loss: 0.3052', 'Explore P: 0.1153')
('Episode: 114', 'Total reward: 220.0', 'Training loss: 1.8550', 'Explore P: 0.1150')
('Episode: 115', 'Total reward: 200.0', 'Training loss: 0.0012', 'Explore P: 0.1147')
Model Saved
('Episode: 116', 'Total reward: 320.0', 'Training loss: 0.6099', 'Explore P: 0.1142')
('Episode: 117', 'Total reward: 180.0', 'Training loss: 0.3052', 'Explore P: 0.1137')
('Episode: 118', 'Total reward: 120.0', 'Training loss: 0.6087', 'Explore P: 0.1134')
('Episode: 119', 'Total reward: 100.0', 'Training loss: 1.2439', 'Explore P: 0.1130')
('Episode: 120', 'Total reward: 400.0', 'Training loss: 2.7892', 'Explore P: 0.1124')
Model Saved
('Episode: 121', 'Total reward: 500.0', 'Training loss: 0.9132', 'Explore P: 0.1120')
('Episode: 122', 'Total reward: 200.0', 'Training loss: 0.0014', 'Explore P: 0.1118')
('Episode: 123', 'Total reward: 200.0', 'Training loss: 0.9153', 'Explore P: 0.1111')
('Episode: 124', 'Total reward: 180.0', 'Training loss: 0.6097', 'Explore P: 0.1107')
('Episode: 125', 'Total reward: 300.0', 'Training loss: 0.0016', 'Explore P: 0.1104')
Model Saved
('Episode: 126', 'Total reward: 240.0', 'Training loss: 1.5464', 'Explore P: 0.1102')
('Episode: 127', 'Total reward: 240.0', 'Training loss: 1.5469', 'Explore P: 0.1100')
('Episode: 128', 'Total reward: 460.0', 'Training loss: 1.5454', 'Explore P: 0.1097')
('Episode: 129', 'Total reward: 380.0', 'Training loss: 0.3547', 'Explore P: 0.1093')
('Episode: 130', 'Total reward: 560.0', 'Training loss: 2.1562', 'Explore P: 0.1086')
Model Saved
('Episode: 131', 'Total reward: 460.0', 'Training loss: 0.3223', 'Explore P: 0.1084')
('Episode: 132', 'Total reward: 140.0', 'Training loss: 0.6091', 'Explore P: 0.1080')
('Episode: 133', 'Total reward: 180.0', 'Training loss: 0.6116', 'Explore P: 0.1079')
('Episode: 134', 'Total reward: 220.0', 'Training loss: 1.5478', 'Explore P: 0.1076')
('Episode: 135', 'Total reward: 240.0', 'Training loss: 0.0024', 'Explore P: 0.1074')
Model Saved
('Episode: 136', 'Total reward: 380.0', 'Training loss: 1.5486', 'Explore P: 0.1072')
('Episode: 137', 'Total reward: 180.0', 'Training loss: 0.0012', 'Explore P: 0.1070')
('Episode: 138', 'Total reward: 200.0', 'Training loss: 1.2453', 'Explore P: 0.1066')
('Episode: 139', 'Total reward: 260.0', 'Training loss: 0.3049', 'Explore P: 0.1065')
('Episode: 140', 'Total reward: 660.0', 'Training loss: 0.3039', 'Explore P: 0.1062')
Model Saved
('Episode: 141', 'Total reward: 140.0', 'Training loss: 0.3049', 'Explore P: 0.1060')
('Episode: 142', 'Total reward: 300.0', 'Training loss: 0.3272', 'Explore P: 0.1058')
('Episode: 143', 'Total reward: 280.0', 'Training loss: 0.6101', 'Explore P: 0.1057')
('Episode: 144', 'Total reward: 120.0', 'Training loss: 1.2441', 'Explore P: 0.1054')
('Episode: 145', 'Total reward: 700.0', 'Training loss: 0.3049', 'Explore P: 0.1053')
Model Saved
('Episode: 146', 'Total reward: 120.0', 'Training loss: 0.3051', 'Explore P: 0.1051')
('Episode: 147', 'Total reward: 200.0', 'Training loss: 0.9129', 'Explore P: 0.1049')
('Episode: 148', 'Total reward: 120.0', 'Training loss: 0.6112', 'Explore P: 0.1049')
('Episode: 149', 'Total reward: 160.0', 'Training loss: 0.6112', 'Explore P: 0.1047')
('Episode: 150', 'Total reward: 240.0', 'Training loss: 0.3057', 'Explore P: 0.1046')
Model Saved
('Episode: 151', 'Total reward: 200.0', 'Training loss: 0.6106', 'Explore P: 0.1045')
('Episode: 152', 'Total reward: 240.0', 'Training loss: 0.9307', 'Explore P: 0.1044')
('Episode: 153', 'Total reward: 220.0', 'Training loss: 0.0006', 'Explore P: 0.1044')
('Episode: 154', 'Total reward: 40.0', 'Training loss: 1.5467', 'Explore P: 0.1043')
('Episode: 155', 'Total reward: 200.0', 'Training loss: 0.3059', 'Explore P: 0.1042')
Model Saved
('Episode: 156', 'Total reward: 220.0', 'Training loss: 1.5491', 'Explore P: 0.1041')
('Episode: 157', 'Total reward: 120.0', 'Training loss: 0.0014', 'Explore P: 0.1040')
('Episode: 158', 'Total reward: 240.0', 'Training loss: 0.6105', 'Explore P: 0.1039')
('Episode: 159', 'Total reward: 200.0', 'Training loss: 0.0013', 'Explore P: 0.1038')
('Episode: 160', 'Total reward: 380.0', 'Training loss: 1.8532', 'Explore P: 0.1036')
Model Saved
('Episode: 161', 'Total reward: 220.0', 'Training loss: 0.0016', 'Explore P: 0.1036')
('Episode: 162', 'Total reward: 140.0', 'Training loss: 0.3050', 'Explore P: 0.1035')
('Episode: 163', 'Total reward: 700.0', 'Training loss: 1.5517', 'Explore P: 0.1032')
('Episode: 164', 'Total reward: 280.0', 'Training loss: 0.0011', 'Explore P: 0.1031')
('Episode: 165', 'Total reward: 180.0', 'Training loss: 0.3051', 'Explore P: 0.1030')
Model Saved
('Episode: 166', 'Total reward: 220.0', 'Training loss: 0.3067', 'Explore P: 0.1030')
('Episode: 167', 'Total reward: 200.0', 'Training loss: 0.0009', 'Explore P: 0.1029')
('Episode: 168', 'Total reward: 320.0', 'Training loss: 1.2447', 'Explore P: 0.1029')
('Episode: 169', 'Total reward: 240.0', 'Training loss: 0.6109', 'Explore P: 0.1028')
('Episode: 170', 'Total reward: 320.0', 'Training loss: 1.5460', 'Explore P: 0.1027')
Model Saved
('Episode: 171', 'Total reward: 120.0', 'Training loss: 1.8684', 'Explore P: 0.1026')
('Episode: 172', 'Total reward: 80.0', 'Training loss: 1.2185', 'Explore P: 0.1025')
('Episode: 173', 'Total reward: 180.0', 'Training loss: 0.9146', 'Explore P: 0.1025')
('Episode: 174', 'Total reward: 360.0', 'Training loss: 0.6087', 'Explore P: 0.1024')
('Episode: 175', 'Total reward: 400.0', 'Training loss: 0.0011', 'Explore P: 0.1023')
Model Saved
('Episode: 176', 'Total reward: 140.0', 'Training loss: 0.0009', 'Explore P: 0.1022')
('Episode: 177', 'Total reward: 380.0', 'Training loss: 0.0028', 'Explore P: 0.1022')
('Episode: 178', 'Total reward: 220.0', 'Training loss: 0.9139', 'Explore P: 0.1021')
('Episode: 179', 'Total reward: 120.0', 'Training loss: 0.3059', 'Explore P: 0.1021')
('Episode: 180', 'Total reward: 140.0', 'Training loss: 1.5487', 'Explore P: 0.1021')
Model Saved
('Episode: 181', 'Total reward: 240.0', 'Training loss: 1.5491', 'Explore P: 0.1020')
('Episode: 182', 'Total reward: 260.0', 'Training loss: 0.3043', 'Explore P: 0.1019')
('Episode: 183', 'Total reward: 200.0', 'Training loss: 0.3049', 'Explore P: 0.1019')
('Episode: 184', 'Total reward: 480.0', 'Training loss: 1.2441', 'Explore P: 0.1018')
('Episode: 185', 'Total reward: 80.0', 'Training loss: 1.2444', 'Explore P: 0.1018')
Model Saved
('Episode: 186', 'Total reward: 1710.0', 'Training loss: 1.2438', 'Explore P: 0.1017')
('Episode: 187', 'Total reward: 240.0', 'Training loss: 3.4030', 'Explore P: 0.1016')
('Episode: 188', 'Total reward: 320.0', 'Training loss: 1.2445', 'Explore P: 0.1016')
('Episode: 189', 'Total reward: 40.0', 'Training loss: 0.6516', 'Explore P: 0.1016')
('Episode: 190', 'Total reward: 140.0', 'Training loss: 2.1752', 'Explore P: 0.1015')
Model Saved
('Episode: 191', 'Total reward: 240.0', 'Training loss: 2.5056', 'Explore P: 0.1015')
('Episode: 192', 'Total reward: 480.0', 'Training loss: 0.6089', 'Explore P: 0.1014')
('Episode: 193', 'Total reward: 440.0', 'Training loss: 0.0015', 'Explore P: 0.1013')
('Episode: 194', 'Total reward: 200.0', 'Training loss: 0.3291', 'Explore P: 0.1013')
('Episode: 195', 'Total reward: 200.0', 'Training loss: 2.7938', 'Explore P: 0.1013')
Model Saved
('Episode: 196', 'Total reward: 200.0', 'Training loss: 1.5470', 'Explore P: 0.1013')
('Episode: 197', 'Total reward: 300.0', 'Training loss: 0.0021', 'Explore P: 0.1012')
('Episode: 198', 'Total reward: 180.0', 'Training loss: 0.3061', 'Explore P: 0.1012')
('Episode: 199', 'Total reward: 180.0', 'Training loss: 0.0217', 'Explore P: 0.1011')
('Episode: 200', 'Total reward: 320.0', 'Training loss: 0.3050', 'Explore P: 0.1011')
Model Saved
('Episode: 201', 'Total reward: 480.0', 'Training loss: 2.4847', 'Explore P: 0.1011')
('Episode: 202', 'Total reward: 260.0', 'Training loss: 1.5466', 'Explore P: 0.1010')
('Episode: 203', 'Total reward: 500.0', 'Training loss: 1.2435', 'Explore P: 0.1010')
('Episode: 204', 'Total reward: 160.0', 'Training loss: 1.2601', 'Explore P: 0.1009')
('Episode: 205', 'Total reward: 240.0', 'Training loss: 0.3044', 'Explore P: 0.1009')
Model Saved
('Episode: 206', 'Total reward: 160.0', 'Training loss: 2.7888', 'Explore P: 0.1009')
('Episode: 207', 'Total reward: 240.0', 'Training loss: 0.3066', 'Explore P: 0.1009')
('Episode: 208', 'Total reward: 970.0', 'Training loss: 0.0014', 'Explore P: 0.1008')
('Episode: 209', 'Total reward: 200.0', 'Training loss: 0.6257', 'Explore P: 0.1008')
('Episode: 210', 'Total reward: 260.0', 'Training loss: 0.6113', 'Explore P: 0.1008')
Model Saved
('Episode: 211', 'Total reward: 320.0', 'Training loss: 0.0013', 'Explore P: 0.1007')
('Episode: 212', 'Total reward: 40.0', 'Training loss: 0.0017', 'Explore P: 0.1007')
('Episode: 213', 'Total reward: 220.0', 'Training loss: 2.5082', 'Explore P: 0.1007')
('Episode: 214', 'Total reward: 240.0', 'Training loss: 0.0010', 'Explore P: 0.1007')
('Episode: 215', 'Total reward: 120.0', 'Training loss: 0.0009', 'Explore P: 0.1007')
Model Saved
('Episode: 216', 'Total reward: 160.0', 'Training loss: 2.4595', 'Explore P: 0.1007')
('Episode: 217', 'Total reward: 180.0', 'Training loss: 0.6276', 'Explore P: 0.1006')
('Episode: 218', 'Total reward: 320.0', 'Training loss: 0.3063', 'Explore P: 0.1006')
('Episode: 219', 'Total reward: 240.0', 'Training loss: 0.0207', 'Explore P: 0.1006')
('Episode: 220', 'Total reward: 320.0', 'Training loss: 0.3059', 'Explore P: 0.1006')
Model Saved
('Episode: 221', 'Total reward: 320.0', 'Training loss: 0.0010', 'Explore P: 0.1006')
('Episode: 222', 'Total reward: 320.0', 'Training loss: 0.6102', 'Explore P: 0.1005')
('Episode: 223', 'Total reward: 240.0', 'Training loss: 0.0013', 'Explore P: 0.1005')
('Episode: 224', 'Total reward: 560.0', 'Training loss: 1.2432', 'Explore P: 0.1005')
('Episode: 225', 'Total reward: 580.0', 'Training loss: 1.8514', 'Explore P: 0.1005')
Model Saved
('Episode: 226', 'Total reward: 240.0', 'Training loss: 0.0243', 'Explore P: 0.1005')
('Episode: 227', 'Total reward: 120.0', 'Training loss: 0.3064', 'Explore P: 0.1005')
('Episode: 228', 'Total reward: 180.0', 'Training loss: 1.2466', 'Explore P: 0.1005')
('Episode: 229', 'Total reward: 220.0', 'Training loss: 0.3065', 'Explore P: 0.1004')
('Episode: 230', 'Total reward: 140.0', 'Training loss: 0.3068', 'Explore P: 0.1004')
Model Saved
('Episode: 231', 'Total reward: 200.0', 'Training loss: 1.5471', 'Explore P: 0.1004')
('Episode: 232', 'Total reward: 160.0', 'Training loss: 1.5488', 'Explore P: 0.1004')
('Episode: 233', 'Total reward: 240.0', 'Training loss: 0.0011', 'Explore P: 0.1004')
('Episode: 234', 'Total reward: 160.0', 'Training loss: 0.3306', 'Explore P: 0.1004')
('Episode: 235', 'Total reward: 440.0', 'Training loss: 0.0162', 'Explore P: 0.1004')
Model Saved
('Episode: 236', 'Total reward: 440.0', 'Training loss: 1.5554', 'Explore P: 0.1004')
('Episode: 237', 'Total reward: 200.0', 'Training loss: 0.0180', 'Explore P: 0.1003')
('Episode: 238', 'Total reward: 160.0', 'Training loss: 0.6089', 'Explore P: 0.1003')
('Episode: 239', 'Total reward: 380.0', 'Training loss: 1.5508', 'Explore P: 0.1003')
('Episode: 240', 'Total reward: 240.0', 'Training loss: 1.2425', 'Explore P: 0.1003')
Model Saved
('Episode: 241', 'Total reward: 260.0', 'Training loss: 0.3051', 'Explore P: 0.1003')
('Episode: 242', 'Total reward: 320.0', 'Training loss: 0.3045', 'Explore P: 0.1003')
('Episode: 243', 'Total reward: 340.0', 'Training loss: 1.2557', 'Explore P: 0.1003')
('Episode: 244', 'Total reward: 480.0', 'Training loss: 0.6102', 'Explore P: 0.1003')
('Episode: 245', 'Total reward: 100.0', 'Training loss: 0.9178', 'Explore P: 0.1003')
Model Saved
('Episode: 246', 'Total reward: 180.0', 'Training loss: 2.4838', 'Explore P: 0.1003')
