
WARNING: The TensorFlow contrib module will not be included in TensorFlow 2.0.
For more information, please see:
  * https://github.com/tensorflow/community/blob/master/rfcs/20180907-contrib-sunset.md
  * https://github.com/tensorflow/addons
If you depend on functionality not listed there, please file an issue.

WARNING:tensorflow:From ./deepQ.py:367: conv2d (from tensorflow.python.layers.convolutional) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.conv2d instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From ./deepQ.py:372: batch_normalization (from tensorflow.python.layers.normalization) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.batch_normalization instead.
WARNING:tensorflow:From ./deepQ.py:424: flatten (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.flatten instead.
WARNING:tensorflow:From ./deepQ.py:432: dense (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.dense instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
Memory Ready
Training Started
2019-03-21 16:56:05.197252: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 3401000000 Hz
2019-03-21 16:56:05.255695: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x7fffed69aa30 executing computations on platform Host. Devices:
2019-03-21 16:56:05.255763: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
('Episode: 0', 'Total reward: 800.0', 'Training loss: 57.1794', 'Explore P: 0.9911')
('Episode: 94', 'Total reward: 320.0', 'Training loss: 38.6358', 'Explore P: 0.3839')
('Episode: 95', 'Total reward: 460.0', 'Training loss: 28.0931', 'Explore P: 0.3801')
Model Saved
('Episode: 96', 'Total reward: 500.0', 'Training loss: 102.2615', 'Explore P: 0.3774')
('Episode: 97', 'Total reward: 680.0', 'Training loss: 30.7875', 'Explore P: 0.3737')
('Episode: 98', 'Total reward: 600.0', 'Training loss: 7.9203', 'Explore P: 0.3590')
('Episode: 99', 'Total reward: 540.0', 'Training loss: 21.3133', 'Explore P: 0.3569')
('Episode: 100', 'Total reward: 1210.0', 'Training loss: 11.1047', 'Explore P: 0.3518')
Model Saved
('Episode: 101', 'Total reward: 940.0', 'Training loss: 20.6267', 'Explore P: 0.3486')
('Episode: 102', 'Total reward: 480.0', 'Training loss: 8.9536', 'Explore P: 0.3459')
('Episode: 103', 'Total reward: 460.0', 'Training loss: 10.0315', 'Explore P: 0.3436')
('Episode: 104', 'Total reward: 460.0', 'Training loss: 14.6935', 'Explore P: 0.3418')
('Episode: 105', 'Total reward: 500.0', 'Training loss: 7.5375', 'Explore P: 0.3395')
Model Saved
('Episode: 106', 'Total reward: 460.0', 'Training loss: 9.4344', 'Explore P: 0.3372')
('Episode: 107', 'Total reward: 420.0', 'Training loss: 18.3496', 'Explore P: 0.3354')
('Episode: 108', 'Total reward: 460.0', 'Training loss: 9.8267', 'Explore P: 0.3332')
('Episode: 109', 'Total reward: 260.0', 'Training loss: 26.1615', 'Explore P: 0.3314')
('Episode: 110', 'Total reward: 480.0', 'Training loss: 11.3369', 'Explore P: 0.3288')
Model Saved
('Episode: 111', 'Total reward: 2640.0', 'Training loss: 14.3347', 'Explore P: 0.3236')
('Episode: 112', 'Total reward: 460.0', 'Training loss: 17.3890', 'Explore P: 0.3218')
('Episode: 113', 'Total reward: 1730.0', 'Training loss: 67.5487', 'Explore P: 0.3185')
('Episode: 114', 'Total reward: 1880.0', 'Training loss: 56.4431', 'Explore P: 0.3158')
('Episode: 115', 'Total reward: 520.0', 'Training loss: 46.3313', 'Explore P: 0.3137')
Model Saved
('Episode: 116', 'Total reward: 480.0', 'Training loss: 41.1954', 'Explore P: 0.3117')
('Episode: 117', 'Total reward: 1320.0', 'Training loss: 68.4740', 'Explore P: 0.3095')
('Episode: 118', 'Total reward: 2150.0', 'Training loss: 59.6336', 'Explore P: 0.3071')
('Episode: 119', 'Total reward: 1100.0', 'Training loss: 227.1095', 'Explore P: 0.3041')
('Episode: 120', 'Total reward: 1510.0', 'Training loss: 67.1232', 'Explore P: 0.3023')
Model Saved
('Episode: 121', 'Total reward: 480.0', 'Training loss: 72.2276', 'Explore P: 0.2998')
('Episode: 122', 'Total reward: 1360.0', 'Training loss: 45.9675', 'Explore P: 0.2979')
('Episode: 123', 'Total reward: 1450.0', 'Training loss: 47.9365', 'Explore P: 0.2959')
('Episode: 124', 'Total reward: 930.0', 'Training loss: 149.9716', 'Explore P: 0.2940')
('Episode: 125', 'Total reward: 320.0', 'Training loss: 59.2896', 'Explore P: 0.2926')
Model Saved
('Episode: 126', 'Total reward: 540.0', 'Training loss: 48.2785', 'Explore P: 0.2911')
('Episode: 127', 'Total reward: 540.0', 'Training loss: 100.3568', 'Explore P: 0.2888')
('Episode: 128', 'Total reward: 1530.0', 'Training loss: 52.0318', 'Explore P: 0.2868')
('Episode: 129', 'Total reward: 3850.0', 'Training loss: 48.4679', 'Explore P: 0.2844')
('Episode: 130', 'Total reward: 400.0', 'Training loss: 54.3482', 'Explore P: 0.2828')
Model Saved
('Episode: 131', 'Total reward: 460.0', 'Training loss: 54.3611', 'Explore P: 0.2815')
('Episode: 132', 'Total reward: 540.0', 'Training loss: 44.9317', 'Explore P: 0.2801')
('Episode: 133', 'Total reward: 620.0', 'Training loss: 57.9491', 'Explore P: 0.2786')
('Episode: 134', 'Total reward: 1460.0', 'Training loss: 84.9488', 'Explore P: 0.2768')
('Episode: 135', 'Total reward: 700.0', 'Training loss: 49.9802', 'Explore P: 0.2752')
Model Saved
('Episode: 136', 'Total reward: 1990.0', 'Training loss: 47.4521', 'Explore P: 0.2727')
('Episode: 137', 'Total reward: 580.0', 'Training loss: 168.5975', 'Explore P: 0.2711')
('Episode: 138', 'Total reward: 1850.0', 'Training loss: 61.7893', 'Explore P: 0.2684')
('Episode: 139', 'Total reward: 1150.0', 'Training loss: 155.2533', 'Explore P: 0.2667')
('Episode: 140', 'Total reward: 1920.0', 'Training loss: 137.4929', 'Explore P: 0.2651')
Model Saved
('Episode: 141', 'Total reward: 520.0', 'Training loss: 43.6666', 'Explore P: 0.2634')
('Episode: 142', 'Total reward: 520.0', 'Training loss: 52.4351', 'Explore P: 0.2619')
('Episode: 143', 'Total reward: 200.0', 'Training loss: 65.5161', 'Explore P: 0.2607')
('Episode: 144', 'Total reward: 360.0', 'Training loss: 60.8763', 'Explore P: 0.2594')
('Episode: 145', 'Total reward: 1060.0', 'Training loss: 133.6812', 'Explore P: 0.2575')
Model Saved
('Episode: 146', 'Total reward: 1820.0', 'Training loss: 25.7469', 'Explore P: 0.2558')
('Episode: 147', 'Total reward: 540.0', 'Training loss: 30.4301', 'Explore P: 0.2545')
('Episode: 148', 'Total reward: 660.0', 'Training loss: 65.8391', 'Explore P: 0.2529')
('Episode: 149', 'Total reward: 1210.0', 'Training loss: 40.4614', 'Explore P: 0.2515')
('Episode: 150', 'Total reward: 2390.0', 'Training loss: 102.8629', 'Explore P: 0.2499')
Model Saved
('Episode: 151', 'Total reward: 500.0', 'Training loss: 100.3773', 'Explore P: 0.2485')
('Episode: 152', 'Total reward: 620.0', 'Training loss: 45.0277', 'Explore P: 0.2474')
('Episode: 153', 'Total reward: 1870.0', 'Training loss: 39.6171', 'Explore P: 0.2459')
('Episode: 154', 'Total reward: 740.0', 'Training loss: 75.5781', 'Explore P: 0.2444')
('Episode: 155', 'Total reward: 930.0', 'Training loss: 41.1471', 'Explore P: 0.2429')
Model Saved
('Episode: 156', 'Total reward: 560.0', 'Training loss: 35.3072', 'Explore P: 0.2415')
('Episode: 157', 'Total reward: 1680.0', 'Training loss: 119.7305', 'Explore P: 0.2400')
('Episode: 158', 'Total reward: 600.0', 'Training loss: 63.0109', 'Explore P: 0.2387')
('Episode: 159', 'Total reward: 2130.0', 'Training loss: 83.4158', 'Explore P: 0.2370')
('Episode: 160', 'Total reward: 660.0', 'Training loss: 34.3725', 'Explore P: 0.2341')
Model Saved
('Episode: 161', 'Total reward: 1390.0', 'Training loss: 48.6318', 'Explore P: 0.2326')
('Episode: 162', 'Total reward: 500.0', 'Training loss: 67.0825', 'Explore P: 0.2313')
('Episode: 163', 'Total reward: 480.0', 'Training loss: 41.6637', 'Explore P: 0.2301')
('Episode: 164', 'Total reward: 2210.0', 'Training loss: 83.0627', 'Explore P: 0.2284')
('Episode: 165', 'Total reward: 1140.0', 'Training loss: 120.3396', 'Explore P: 0.2268')
Model Saved
('Episode: 166', 'Total reward: 620.0', 'Training loss: 42.1497', 'Explore P: 0.2255')
('Episode: 167', 'Total reward: 1440.0', 'Training loss: 37.9096', 'Explore P: 0.2241')
('Episode: 168', 'Total reward: 320.0', 'Training loss: 47.2903', 'Explore P: 0.2231')
('Episode: 169', 'Total reward: 2330.0', 'Training loss: 48.4560', 'Explore P: 0.2218')
('Episode: 170', 'Total reward: 460.0', 'Training loss: 44.9524', 'Explore P: 0.2206')
Model Saved
('Episode: 171', 'Total reward: 1580.0', 'Training loss: 33.3385', 'Explore P: 0.2193')
('Episode: 172', 'Total reward: 420.0', 'Training loss: 45.8179', 'Explore P: 0.2184')
('Episode: 173', 'Total reward: 2570.0', 'Training loss: 44.9060', 'Explore P: 0.2167')
('Episode: 174', 'Total reward: 620.0', 'Training loss: 36.5582', 'Explore P: 0.2155')
('Episode: 175', 'Total reward: 1310.0', 'Training loss: 89.0548', 'Explore P: 0.2144')
Model Saved
('Episode: 176', 'Total reward: 440.0', 'Training loss: 48.8231', 'Explore P: 0.2137')
('Episode: 177', 'Total reward: 620.0', 'Training loss: 46.7884', 'Explore P: 0.2126')
('Episode: 178', 'Total reward: 580.0', 'Training loss: 36.2627', 'Explore P: 0.2117')
('Episode: 179', 'Total reward: 140.0', 'Training loss: 36.4412', 'Explore P: 0.2085')
('Episode: 180', 'Total reward: 1720.0', 'Training loss: 21.4381', 'Explore P: 0.2074')
Model Saved
('Episode: 181', 'Total reward: 600.0', 'Training loss: 38.2478', 'Explore P: 0.2062')
('Episode: 182', 'Total reward: 1070.0', 'Training loss: 33.8103', 'Explore P: 0.2053')
('Episode: 183', 'Total reward: 680.0', 'Training loss: 26.7791', 'Explore P: 0.2045')
('Episode: 184', 'Total reward: 440.0', 'Training loss: 33.5256', 'Explore P: 0.2038')
('Episode: 185', 'Total reward: 540.0', 'Training loss: 97.9620', 'Explore P: 0.2021')
Model Saved
('Episode: 186', 'Total reward: 280.0', 'Training loss: 24.3055', 'Explore P: 0.2014')
('Episode: 187', 'Total reward: 580.0', 'Training loss: 42.2666', 'Explore P: 0.2006')
('Episode: 188', 'Total reward: 1500.0', 'Training loss: 34.8771', 'Explore P: 0.1994')
('Episode: 189', 'Total reward: 460.0', 'Training loss: 21.8500', 'Explore P: 0.1986')
('Episode: 190', 'Total reward: 2420.0', 'Training loss: 27.2285', 'Explore P: 0.1972')
Model Saved
('Episode: 191', 'Total reward: 520.0', 'Training loss: 98.6144', 'Explore P: 0.1965')
('Episode: 192', 'Total reward: 420.0', 'Training loss: 46.4471', 'Explore P: 0.1958')
('Episode: 193', 'Total reward: 1670.0', 'Training loss: 52.1324', 'Explore P: 0.1943')
('Episode: 194', 'Total reward: 440.0', 'Training loss: 70.1296', 'Explore P: 0.1931')
('Episode: 195', 'Total reward: 340.0', 'Training loss: 15.7069', 'Explore P: 0.1922')
Model Saved
('Episode: 196', 'Total reward: 620.0', 'Training loss: 40.6172', 'Explore P: 0.1913')
('Episode: 197', 'Total reward: 600.0', 'Training loss: 25.2391', 'Explore P: 0.1903')
('Episode: 198', 'Total reward: 340.0', 'Training loss: 26.5148', 'Explore P: 0.1897')
('Episode: 199', 'Total reward: 400.0', 'Training loss: 25.9739', 'Explore P: 0.1889')
('Episode: 200', 'Total reward: 460.0', 'Training loss: 32.1133', 'Explore P: 0.1882')
Model Saved
('Episode: 201', 'Total reward: 1560.0', 'Training loss: 20.5372', 'Explore P: 0.1873')
('Episode: 202', 'Total reward: 1780.0', 'Training loss: 72.0668', 'Explore P: 0.1863')
('Episode: 203', 'Total reward: 360.0', 'Training loss: 17.9111', 'Explore P: 0.1856')
('Episode: 204', 'Total reward: 700.0', 'Training loss: 33.0868', 'Explore P: 0.1846')
('Episode: 205', 'Total reward: 1410.0', 'Training loss: 36.8153', 'Explore P: 0.1835')
Model Saved
('Episode: 206', 'Total reward: 420.0', 'Training loss: 15.5540', 'Explore P: 0.1829')
('Episode: 207', 'Total reward: 2360.0', 'Training loss: 24.3867', 'Explore P: 0.1819')
('Episode: 208', 'Total reward: 2250.0', 'Training loss: 159.3827', 'Explore P: 0.1809')
('Episode: 209', 'Total reward: 1920.0', 'Training loss: 1528.5593', 'Explore P: 0.1799')
('Episode: 210', 'Total reward: 2520.0', 'Training loss: 69.3844', 'Explore P: 0.1787')
Model Saved
('Episode: 211', 'Total reward: 1120.0', 'Training loss: 38.9411', 'Explore P: 0.1776')
('Episode: 212', 'Total reward: 1450.0', 'Training loss: 106.9319', 'Explore P: 0.1767')
('Episode: 213', 'Total reward: 600.0', 'Training loss: 174.9289', 'Explore P: 0.1758')
('Episode: 214', 'Total reward: 460.0', 'Training loss: 85.1185', 'Explore P: 0.1749')
('Episode: 215', 'Total reward: 480.0', 'Training loss: 30.7355', 'Explore P: 0.1744')
Model Saved
('Episode: 216', 'Total reward: 1690.0', 'Training loss: 50.5049', 'Explore P: 0.1736')
('Episode: 217', 'Total reward: 460.0', 'Training loss: 40.4191', 'Explore P: 0.1730')
('Episode: 218', 'Total reward: 1590.0', 'Training loss: 88.9436', 'Explore P: 0.1720')
('Episode: 219', 'Total reward: 480.0', 'Training loss: 28.9442', 'Explore P: 0.1713')
('Episode: 220', 'Total reward: 620.0', 'Training loss: 55.9625', 'Explore P: 0.1707')
Model Saved
('Episode: 221', 'Total reward: 620.0', 'Training loss: 23.8337', 'Explore P: 0.1699')
('Episode: 222', 'Total reward: 360.0', 'Training loss: 22.0995', 'Explore P: 0.1695')
('Episode: 223', 'Total reward: 1400.0', 'Training loss: 21.4563', 'Explore P: 0.1688')
('Episode: 224', 'Total reward: 620.0', 'Training loss: 46.1470', 'Explore P: 0.1682')
('Episode: 225', 'Total reward: 460.0', 'Training loss: 33.4826', 'Explore P: 0.1677')
Model Saved
('Episode: 226', 'Total reward: 640.0', 'Training loss: 13.3756', 'Explore P: 0.1671')
('Episode: 227', 'Total reward: 1870.0', 'Training loss: 192.8345', 'Explore P: 0.1663')
('Episode: 228', 'Total reward: 400.0', 'Training loss: 116.2256', 'Explore P: 0.1657')
('Episode: 229', 'Total reward: 560.0', 'Training loss: 21.5273', 'Explore P: 0.1652')
('Episode: 230', 'Total reward: 280.0', 'Training loss: 36.8409', 'Explore P: 0.1647')
Model Saved
('Episode: 231', 'Total reward: 180.0', 'Training loss: 44.1112', 'Explore P: 0.1643')
('Episode: 232', 'Total reward: 1230.0', 'Training loss: 21.7342', 'Explore P: 0.1635')
('Episode: 233', 'Total reward: 1870.0', 'Training loss: 26.0269', 'Explore P: 0.1628')
('Episode: 234', 'Total reward: 2530.0', 'Training loss: 22.1009', 'Explore P: 0.1619')
('Episode: 235', 'Total reward: 1600.0', 'Training loss: 43.8721', 'Explore P: 0.1611')
Model Saved
('Episode: 236', 'Total reward: 2290.0', 'Training loss: 17.6383', 'Explore P: 0.1604')
('Episode: 237', 'Total reward: 1850.0', 'Training loss: 32.4011', 'Explore P: 0.1598')
('Episode: 238', 'Total reward: 540.0', 'Training loss: 74.9904', 'Explore P: 0.1593')
('Episode: 239', 'Total reward: 1660.0', 'Training loss: 75.1042', 'Explore P: 0.1585')
('Episode: 240', 'Total reward: 480.0', 'Training loss: 28.7182', 'Explore P: 0.1580')
Model Saved
('Episode: 241', 'Total reward: 660.0', 'Training loss: 37.7672', 'Explore P: 0.1575')
('Episode: 242', 'Total reward: 2500.0', 'Training loss: 62.8277', 'Explore P: 0.1567')
('Episode: 243', 'Total reward: 2230.0', 'Training loss: 64.7379', 'Explore P: 0.1559')
('Episode: 244', 'Total reward: 420.0', 'Training loss: 33.1906', 'Explore P: 0.1554')
('Episode: 245', 'Total reward: 520.0', 'Training loss: 58.3860', 'Explore P: 0.1548')
Model Saved
('Episode: 246', 'Total reward: 460.0', 'Training loss: 50.5477', 'Explore P: 0.1544')
('Episode: 247', 'Total reward: 500.0', 'Training loss: 20.0807', 'Explore P: 0.1539')
('Episode: 248', 'Total reward: 1530.0', 'Training loss: 45.6865', 'Explore P: 0.1533')
('Episode: 249', 'Total reward: 500.0', 'Training loss: 79.6166', 'Explore P: 0.1527')
