
WARNING: The TensorFlow contrib module will not be included in TensorFlow 2.0.
For more information, please see:
  * https://github.com/tensorflow/community/blob/master/rfcs/20180907-contrib-sunset.md
  * https://github.com/tensorflow/addons
If you depend on functionality not listed there, please file an issue.

WARNING:tensorflow:From ./deepQ.py:367: conv2d (from tensorflow.python.layers.convolutional) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.conv2d instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From ./deepQ.py:372: batch_normalization (from tensorflow.python.layers.normalization) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.batch_normalization instead.
WARNING:tensorflow:From ./deepQ.py:424: flatten (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.flatten instead.
WARNING:tensorflow:From ./deepQ.py:432: dense (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.dense instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
Memory Ready
Training Started
2019-03-23 00:37:45.820876: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 3401000000 Hz
2019-03-23 00:37:45.823378: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x7fffe82d52d0 executing computations on platform Host. Devices:
2019-03-23 00:37:45.823436: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
('Episode: 0', 'Total reward: 1610.0', 'Training loss: 52.0388', 'Explore P: 0.9601')
('Episode: 20', 'Total reward: 480.0', 'Training loss: 94.4963', 'Explore P: 0.7121')
Model Saved
('Episode: 21', 'Total reward: 260.0', 'Training loss: 116.5780', 'Explore P: 0.7085')
('Episode: 22', 'Total reward: 200.0', 'Training loss: 52.6186', 'Explore P: 0.7044')
('Episode: 23', 'Total reward: 1780.0', 'Training loss: 480.4250', 'Explore P: 0.6987')
('Episode: 24', 'Total reward: 640.0', 'Training loss: 67.0971', 'Explore P: 0.6826')
('Episode: 25', 'Total reward: 340.0', 'Training loss: 312.8943', 'Explore P: 0.6785')
Model Saved
('Episode: 26', 'Total reward: 740.0', 'Training loss: 79.8737', 'Explore P: 0.6724')
('Episode: 27', 'Total reward: 1760.0', 'Training loss: 103.8801', 'Explore P: 0.6663')
('Episode: 28', 'Total reward: 720.0', 'Training loss: 68.7880', 'Explore P: 0.6551')
('Episode: 29', 'Total reward: 500.0', 'Training loss: 77.5425', 'Explore P: 0.6499')
('Episode: 30', 'Total reward: 460.0', 'Training loss: 143.8306', 'Explore P: 0.6435')
Model Saved
('Episode: 31', 'Total reward: 1050.0', 'Training loss: 68.8981', 'Explore P: 0.6369')
('Episode: 32', 'Total reward: 420.0', 'Training loss: 82.7973', 'Explore P: 0.6309')
('Episode: 33', 'Total reward: 1020.0', 'Training loss: 81.0307', 'Explore P: 0.6261')
('Episode: 34', 'Total reward: 440.0', 'Training loss: 155.2696', 'Explore P: 0.6216')
('Episode: 35', 'Total reward: 1380.0', 'Training loss: 135.4622', 'Explore P: 0.6146')
Model Saved
('Episode: 36', 'Total reward: 320.0', 'Training loss: 101.5504', 'Explore P: 0.6102')
('Episode: 37', 'Total reward: 2300.0', 'Training loss: 89.4480', 'Explore P: 0.6034')
('Episode: 38', 'Total reward: 460.0', 'Training loss: 73.9243', 'Explore P: 0.5996')
('Episode: 39', 'Total reward: 1340.0', 'Training loss: 62.4698', 'Explore P: 0.5940')
('Episode: 40', 'Total reward: 2790.0', 'Training loss: 86.7623', 'Explore P: 0.5880')
Model Saved
('Episode: 41', 'Total reward: 200.0', 'Training loss: 108.2342', 'Explore P: 0.5845')
('Episode: 42', 'Total reward: 720.0', 'Training loss: 150.6411', 'Explore P: 0.5800')
('Episode: 43', 'Total reward: 660.0', 'Training loss: 107.3662', 'Explore P: 0.5757')
('Episode: 44', 'Total reward: 2110.0', 'Training loss: 56.0266', 'Explore P: 0.5621')
('Episode: 45', 'Total reward: 580.0', 'Training loss: 70.7307', 'Explore P: 0.5561')
Model Saved
('Episode: 46', 'Total reward: 1190.0', 'Training loss: 147.4151', 'Explore P: 0.5485')
('Episode: 47', 'Total reward: 580.0', 'Training loss: 86.5532', 'Explore P: 0.5437')
('Episode: 48', 'Total reward: 200.0', 'Training loss: 131.1668', 'Explore P: 0.5389')
('Episode: 49', 'Total reward: 420.0', 'Training loss: 60.1237', 'Explore P: 0.5354')
('Episode: 50', 'Total reward: 520.0', 'Training loss: 95.1297', 'Explore P: 0.5325')
Model Saved
('Episode: 51', 'Total reward: 2640.0', 'Training loss: 117.8555', 'Explore P: 0.5219')
('Episode: 52', 'Total reward: 1330.0', 'Training loss: 477.1311', 'Explore P: 0.5178')
('Episode: 53', 'Total reward: 380.0', 'Training loss: 55.2217', 'Explore P: 0.5148')
('Episode: 54', 'Total reward: 2520.0', 'Training loss: 68.2186', 'Explore P: 0.5102')
('Episode: 55', 'Total reward: 620.0', 'Training loss: 83.7134', 'Explore P: 0.5071')
Model Saved
('Episode: 56', 'Total reward: 320.0', 'Training loss: 90.2821', 'Explore P: 0.5035')
('Episode: 57', 'Total reward: 1490.0', 'Training loss: 152.2997', 'Explore P: 0.4980')
('Episode: 58', 'Total reward: 540.0', 'Training loss: 92.4554', 'Explore P: 0.4945')
('Episode: 59', 'Total reward: 140.0', 'Training loss: 204.5452', 'Explore P: 0.4912')
('Episode: 60', 'Total reward: 1570.0', 'Training loss: 469.4155', 'Explore P: 0.4854')
Model Saved
('Episode: 61', 'Total reward: 1670.0', 'Training loss: 150.7369', 'Explore P: 0.4823')
('Episode: 62', 'Total reward: 420.0', 'Training loss: 344.4504', 'Explore P: 0.4796')
('Episode: 63', 'Total reward: 1880.0', 'Training loss: 221.7935', 'Explore P: 0.4748')
('Episode: 64', 'Total reward: 1690.0', 'Training loss: 95.7132', 'Explore P: 0.4701')
('Episode: 65', 'Total reward: 260.0', 'Training loss: 128.2349', 'Explore P: 0.4676')
Model Saved
('Episode: 66', 'Total reward: 1400.0', 'Training loss: 120.1517', 'Explore P: 0.4634')
('Episode: 67', 'Total reward: 440.0', 'Training loss: 152.9581', 'Explore P: 0.4610')
('Episode: 68', 'Total reward: 520.0', 'Training loss: 211.7244', 'Explore P: 0.4573')
('Episode: 69', 'Total reward: 480.0', 'Training loss: 161.1165', 'Explore P: 0.4546')
('Episode: 70', 'Total reward: 260.0', 'Training loss: 138.9211', 'Explore P: 0.4518')
Model Saved
('Episode: 71', 'Total reward: 880.0', 'Training loss: 190.5954', 'Explore P: 0.4483')
('Episode: 72', 'Total reward: 1110.0', 'Training loss: 130.4809', 'Explore P: 0.4446')
('Episode: 73', 'Total reward: 320.0', 'Training loss: 96.2051', 'Explore P: 0.4414')
('Episode: 74', 'Total reward: 1960.0', 'Training loss: 99.1803', 'Explore P: 0.4374')
('Episode: 75', 'Total reward: 300.0', 'Training loss: 129.4710', 'Explore P: 0.4343')
Model Saved
('Episode: 76', 'Total reward: 1440.0', 'Training loss: 68.2129', 'Explore P: 0.4297')
('Episode: 77', 'Total reward: 340.0', 'Training loss: 82.9180', 'Explore P: 0.4268')
('Episode: 78', 'Total reward: 600.0', 'Training loss: 76.1851', 'Explore P: 0.4238')
('Episode: 79', 'Total reward: 1800.0', 'Training loss: 97.4315', 'Explore P: 0.4186')
('Episode: 80', 'Total reward: 440.0', 'Training loss: 90.5179', 'Explore P: 0.4088')
Model Saved
('Episode: 81', 'Total reward: 1230.0', 'Training loss: 87.4312', 'Explore P: 0.4056')
('Episode: 82', 'Total reward: 380.0', 'Training loss: 69.4136', 'Explore P: 0.4028')
('Episode: 83', 'Total reward: 680.0', 'Training loss: 82.2391', 'Explore P: 0.3996')
('Episode: 84', 'Total reward: 1330.0', 'Training loss: 86.8814', 'Explore P: 0.3959')
('Episode: 85', 'Total reward: 1200.0', 'Training loss: 74.9124', 'Explore P: 0.3928')
Model Saved
('Episode: 86', 'Total reward: 1470.0', 'Training loss: 103.2600', 'Explore P: 0.3896')
('Episode: 87', 'Total reward: 680.0', 'Training loss: 86.4542', 'Explore P: 0.3871')
('Episode: 88', 'Total reward: 440.0', 'Training loss: 144.3597', 'Explore P: 0.3849')
('Episode: 89', 'Total reward: 280.0', 'Training loss: 64.3906', 'Explore P: 0.3795')
('Episode: 90', 'Total reward: 260.0', 'Training loss: 97.9548', 'Explore P: 0.3777')
Model Saved
('Episode: 91', 'Total reward: 260.0', 'Training loss: 94.9515', 'Explore P: 0.3745')
('Episode: 92', 'Total reward: 460.0', 'Training loss: 139.0409', 'Explore P: 0.3724')
('Episode: 93', 'Total reward: 560.0', 'Training loss: 96.7766', 'Explore P: 0.3698')
('Episode: 94', 'Total reward: 540.0', 'Training loss: 96.9004', 'Explore P: 0.3676')
('Episode: 95', 'Total reward: 280.0', 'Training loss: 68.1175', 'Explore P: 0.3649')
Model Saved
('Episode: 96', 'Total reward: 600.0', 'Training loss: 74.1107', 'Explore P: 0.3626')
('Episode: 97', 'Total reward: 1400.0', 'Training loss: 65.0986', 'Explore P: 0.3596')
('Episode: 98', 'Total reward: 380.0', 'Training loss: 39.2563', 'Explore P: 0.3554')
('Episode: 99', 'Total reward: 540.0', 'Training loss: 36.6102', 'Explore P: 0.3529')
('Episode: 100', 'Total reward: 280.0', 'Training loss: 45.3514', 'Explore P: 0.3486')
Model Saved
('Episode: 101', 'Total reward: 540.0', 'Training loss: 45.8701', 'Explore P: 0.3468')
('Episode: 102', 'Total reward: 580.0', 'Training loss: 146.7530', 'Explore P: 0.3439')
('Episode: 103', 'Total reward: 1250.0', 'Training loss: 51.4013', 'Explore P: 0.3410')
('Episode: 104', 'Total reward: 520.0', 'Training loss: 40.6335', 'Explore P: 0.3389')
('Episode: 105', 'Total reward: 520.0', 'Training loss: 57.3839', 'Explore P: 0.3372')
Model Saved
('Episode: 106', 'Total reward: 480.0', 'Training loss: 619.8256', 'Explore P: 0.3353')
('Episode: 107', 'Total reward: 950.0', 'Training loss: 112.5213', 'Explore P: 0.3328')
('Episode: 108', 'Total reward: 460.0', 'Training loss: 84.4523', 'Explore P: 0.3311')
('Episode: 109', 'Total reward: 520.0', 'Training loss: 43.7245', 'Explore P: 0.3293')
('Episode: 110', 'Total reward: 600.0', 'Training loss: 64.1526', 'Explore P: 0.3273')
Model Saved
('Episode: 111', 'Total reward: 1120.0', 'Training loss: 122.0875', 'Explore P: 0.3251')
('Episode: 112', 'Total reward: 380.0', 'Training loss: 43.7704', 'Explore P: 0.3237')
('Episode: 113', 'Total reward: 400.0', 'Training loss: 41.3461', 'Explore P: 0.3218')
('Episode: 114', 'Total reward: 440.0', 'Training loss: 52.9067', 'Explore P: 0.3195')
('Episode: 115', 'Total reward: 1110.0', 'Training loss: 81.5398', 'Explore P: 0.3164')
Model Saved
('Episode: 116', 'Total reward: 500.0', 'Training loss: 74.3915', 'Explore P: 0.3146')
('Episode: 117', 'Total reward: 260.0', 'Training loss: 69.4384', 'Explore P: 0.3132')
('Episode: 118', 'Total reward: 2430.0', 'Training loss: 117.9280', 'Explore P: 0.3104')
('Episode: 119', 'Total reward: 500.0', 'Training loss: 59.6318', 'Explore P: 0.3085')
('Episode: 120', 'Total reward: 540.0', 'Training loss: 96.7097', 'Explore P: 0.3063')
Model Saved
('Episode: 121', 'Total reward: 280.0', 'Training loss: 46.3919', 'Explore P: 0.3037')
('Episode: 122', 'Total reward: 1900.0', 'Training loss: 42.0630', 'Explore P: 0.3008')
('Episode: 123', 'Total reward: 500.0', 'Training loss: 52.6026', 'Explore P: 0.2989')
('Episode: 124', 'Total reward: 380.0', 'Training loss: 111.1039', 'Explore P: 0.2975')
('Episode: 125', 'Total reward: 700.0', 'Training loss: 98.9833', 'Explore P: 0.2948')
Model Saved
('Episode: 126', 'Total reward: 580.0', 'Training loss: 128.7606', 'Explore P: 0.2930')
('Episode: 127', 'Total reward: 560.0', 'Training loss: 78.6871', 'Explore P: 0.2913')
('Episode: 128', 'Total reward: 480.0', 'Training loss: 107.5694', 'Explore P: 0.2898')
('Episode: 129', 'Total reward: 340.0', 'Training loss: 62.8293', 'Explore P: 0.2884')
('Episode: 130', 'Total reward: 1310.0', 'Training loss: 57.1316', 'Explore P: 0.2859')
Model Saved
('Episode: 131', 'Total reward: 200.0', 'Training loss: 53.3695', 'Explore P: 0.2846')
('Episode: 132', 'Total reward: 440.0', 'Training loss: 74.1487', 'Explore P: 0.2833')
('Episode: 133', 'Total reward: 1270.0', 'Training loss: 478.8448', 'Explore P: 0.2811')
('Episode: 134', 'Total reward: 1910.0', 'Training loss: 85.6402', 'Explore P: 0.2789')
('Episode: 135', 'Total reward: 2100.0', 'Training loss: 133.0942', 'Explore P: 0.2771')
Model Saved
('Episode: 136', 'Total reward: 940.0', 'Training loss: 57.0665', 'Explore P: 0.2746')
('Episode: 137', 'Total reward: 500.0', 'Training loss: 53.4903', 'Explore P: 0.2730')
('Episode: 138', 'Total reward: 1930.0', 'Training loss: 61.1995', 'Explore P: 0.2709')
('Episode: 139', 'Total reward: 600.0', 'Training loss: 45.1630', 'Explore P: 0.2694')
('Episode: 140', 'Total reward: 1430.0', 'Training loss: 85.6769', 'Explore P: 0.2677')
Model Saved
('Episode: 141', 'Total reward: 560.0', 'Training loss: 129.2697', 'Explore P: 0.2662')
('Episode: 142', 'Total reward: 1010.0', 'Training loss: 213.2700', 'Explore P: 0.2644')
('Episode: 143', 'Total reward: 760.0', 'Training loss: 99.3559', 'Explore P: 0.2627')
('Episode: 144', 'Total reward: 2900.0', 'Training loss: 78.0527', 'Explore P: 0.2592')
('Episode: 145', 'Total reward: 540.0', 'Training loss: 184.6139', 'Explore P: 0.2580')
Model Saved
('Episode: 146', 'Total reward: 600.0', 'Training loss: 70.1740', 'Explore P: 0.2566')
('Episode: 147', 'Total reward: 540.0', 'Training loss: 190.6982', 'Explore P: 0.2551')
('Episode: 148', 'Total reward: 2980.0', 'Training loss: 168.1649', 'Explore P: 0.2529')
('Episode: 149', 'Total reward: 620.0', 'Training loss: 113.9756', 'Explore P: 0.2516')
('Episode: 150', 'Total reward: 1100.0', 'Training loss: 354.3983', 'Explore P: 0.2500')
Model Saved
('Episode: 151', 'Total reward: 500.0', 'Training loss: 104.1313', 'Explore P: 0.2486')
('Episode: 152', 'Total reward: 1410.0', 'Training loss: 112.5593', 'Explore P: 0.2471')
('Episode: 153', 'Total reward: 480.0', 'Training loss: 173.1214', 'Explore P: 0.2456')
('Episode: 154', 'Total reward: 1920.0', 'Training loss: 203.8220', 'Explore P: 0.2438')
('Episode: 155', 'Total reward: 500.0', 'Training loss: 211.1775', 'Explore P: 0.2429')
Model Saved
('Episode: 156', 'Total reward: 360.0', 'Training loss: 161.4181', 'Explore P: 0.2418')
('Episode: 157', 'Total reward: 2890.0', 'Training loss: 132.0536', 'Explore P: 0.2397')
('Episode: 158', 'Total reward: 2190.0', 'Training loss: 140.3840', 'Explore P: 0.2380')
('Episode: 159', 'Total reward: 2800.0', 'Training loss: 110.2763', 'Explore P: 0.2362')
('Episode: 160', 'Total reward: 1600.0', 'Training loss: 129.4458', 'Explore P: 0.2349')
Model Saved
('Episode: 161', 'Total reward: 930.0', 'Training loss: 91.0521', 'Explore P: 0.2337')
('Episode: 162', 'Total reward: 2310.0', 'Training loss: 59.4360', 'Explore P: 0.2324')
('Episode: 163', 'Total reward: 680.0', 'Training loss: 127.1488', 'Explore P: 0.2309')
('Episode: 164', 'Total reward: 380.0', 'Training loss: 341.0442', 'Explore P: 0.2299')
('Episode: 165', 'Total reward: 380.0', 'Training loss: 147.8365', 'Explore P: 0.2290')
Model Saved
('Episode: 166', 'Total reward: 480.0', 'Training loss: 142.5770', 'Explore P: 0.2278')
('Episode: 167', 'Total reward: 220.0', 'Training loss: 204.1362', 'Explore P: 0.2270')
('Episode: 168', 'Total reward: 400.0', 'Training loss: 167.5629', 'Explore P: 0.2261')
('Episode: 169', 'Total reward: 840.0', 'Training loss: 103.4963', 'Explore P: 0.2248')
('Episode: 170', 'Total reward: 600.0', 'Training loss: 115.2863', 'Explore P: 0.2231')
Model Saved
('Episode: 171', 'Total reward: 1770.0', 'Training loss: 207.3703', 'Explore P: 0.2215')
('Episode: 172', 'Total reward: 1110.0', 'Training loss: 171.8998', 'Explore P: 0.2204')
('Episode: 173', 'Total reward: 480.0', 'Training loss: 136.0602', 'Explore P: 0.2195')
('Episode: 174', 'Total reward: 760.0', 'Training loss: 122.9553', 'Explore P: 0.2185')
('Episode: 175', 'Total reward: 1880.0', 'Training loss: 495.1055', 'Explore P: 0.2166')
Model Saved
('Episode: 176', 'Total reward: 560.0', 'Training loss: 178.0416', 'Explore P: 0.2154')
('Episode: 177', 'Total reward: 620.0', 'Training loss: 199.5087', 'Explore P: 0.2142')
('Episode: 178', 'Total reward: 580.0', 'Training loss: 143.9295', 'Explore P: 0.2131')
('Episode: 179', 'Total reward: 560.0', 'Training loss: 144.7504', 'Explore P: 0.2121')
('Episode: 180', 'Total reward: 1230.0', 'Training loss: 163.0854', 'Explore P: 0.2106')
Model Saved
('Episode: 181', 'Total reward: 2070.0', 'Training loss: 97.9576', 'Explore P: 0.2091')
('Episode: 182', 'Total reward: 600.0', 'Training loss: 95.0796', 'Explore P: 0.2081')
('Episode: 183', 'Total reward: 440.0', 'Training loss: 160.8840', 'Explore P: 0.2072')
('Episode: 184', 'Total reward: 700.0', 'Training loss: 123.6506', 'Explore P: 0.2060')
('Episode: 185', 'Total reward: 680.0', 'Training loss: 153.5120', 'Explore P: 0.2048')
Model Saved
('Episode: 186', 'Total reward: 3150.0', 'Training loss: 182.6598', 'Explore P: 0.2035')
('Episode: 187', 'Total reward: 1530.0', 'Training loss: 66.8685', 'Explore P: 0.2015')
('Episode: 188', 'Total reward: 620.0', 'Training loss: 85.7621', 'Explore P: 0.2004')
('Episode: 189', 'Total reward: 620.0', 'Training loss: 363.5991', 'Explore P: 0.1996')
('Episode: 190', 'Total reward: 1030.0', 'Training loss: 160.7515', 'Explore P: 0.1984')
Model Saved
('Episode: 191', 'Total reward: 1860.0', 'Training loss: 133.2188', 'Explore P: 0.1974')
('Episode: 192', 'Total reward: 580.0', 'Training loss: 126.0030', 'Explore P: 0.1966')
('Episode: 193', 'Total reward: 580.0', 'Training loss: 149.6718', 'Explore P: 0.1959')
('Episode: 194', 'Total reward: 440.0', 'Training loss: 94.5978', 'Explore P: 0.1951')
('Episode: 195', 'Total reward: 500.0', 'Training loss: 149.3684', 'Explore P: 0.1944')
Model Saved
('Episode: 196', 'Total reward: 600.0', 'Training loss: 79.9754', 'Explore P: 0.1936')
('Episode: 197', 'Total reward: 1650.0', 'Training loss: 233.1110', 'Explore P: 0.1926')
('Episode: 198', 'Total reward: 720.0', 'Training loss: 100.6795', 'Explore P: 0.1918')
('Episode: 199', 'Total reward: 3150.0', 'Training loss: 112.9821', 'Explore P: 0.1902')
('Episode: 200', 'Total reward: 1940.0', 'Training loss: 160.7422', 'Explore P: 0.1892')
Model Saved
('Episode: 201', 'Total reward: 2020.0', 'Training loss: 155.5077', 'Explore P: 0.1879')
('Episode: 202', 'Total reward: 2440.0', 'Training loss: 105.4476', 'Explore P: 0.1869')
('Episode: 203', 'Total reward: 2870.0', 'Training loss: 150.1018', 'Explore P: 0.1855')
('Episode: 204', 'Total reward: 600.0', 'Training loss: 136.8938', 'Explore P: 0.1847')
('Episode: 205', 'Total reward: 440.0', 'Training loss: 126.9248', 'Explore P: 0.1838')
Model Saved
('Episode: 206', 'Total reward: 660.0', 'Training loss: 117.3315', 'Explore P: 0.1831')
('Episode: 207', 'Total reward: 620.0', 'Training loss: 331.4626', 'Explore P: 0.1825')
('Episode: 208', 'Total reward: 1480.0', 'Training loss: 177.1948', 'Explore P: 0.1817')
('Episode: 209', 'Total reward: 540.0', 'Training loss: 82.4946', 'Explore P: 0.1808')
('Episode: 210', 'Total reward: 540.0', 'Training loss: 125.3228', 'Explore P: 0.1799')
Model Saved
('Episode: 211', 'Total reward: 520.0', 'Training loss: 120.6678', 'Explore P: 0.1793')
('Episode: 212', 'Total reward: 1950.0', 'Training loss: 92.3905', 'Explore P: 0.1785')
('Episode: 213', 'Total reward: 2070.0', 'Training loss: 207.0085', 'Explore P: 0.1777')
('Episode: 214', 'Total reward: 1620.0', 'Training loss: 99.0998', 'Explore P: 0.1769')
('Episode: 215', 'Total reward: 460.0', 'Training loss: 171.2826', 'Explore P: 0.1763')
Model Saved
('Episode: 216', 'Total reward: 1110.0', 'Training loss: 139.7394', 'Explore P: 0.1756')
('Episode: 217', 'Total reward: 1310.0', 'Training loss: 136.2367', 'Explore P: 0.1746')
('Episode: 218', 'Total reward: 800.0', 'Training loss: 343.5860', 'Explore P: 0.1738')
('Episode: 219', 'Total reward: 440.0', 'Training loss: 139.4623', 'Explore P: 0.1732')
('Episode: 220', 'Total reward: 520.0', 'Training loss: 122.8781', 'Explore P: 0.1725')
Model Saved
('Episode: 221', 'Total reward: 580.0', 'Training loss: 123.7825', 'Explore P: 0.1719')
('Episode: 222', 'Total reward: 1780.0', 'Training loss: 188.5990', 'Explore P: 0.1712')
('Episode: 223', 'Total reward: 640.0', 'Training loss: 111.3979', 'Explore P: 0.1706')
('Episode: 224', 'Total reward: 1840.0', 'Training loss: 126.4039', 'Explore P: 0.1700')
('Episode: 225', 'Total reward: 600.0', 'Training loss: 89.7632', 'Explore P: 0.1694')
Model Saved
('Episode: 226', 'Total reward: 480.0', 'Training loss: 77.8316', 'Explore P: 0.1688')
('Episode: 227', 'Total reward: 540.0', 'Training loss: 247.9857', 'Explore P: 0.1682')
('Episode: 228', 'Total reward: 1660.0', 'Training loss: 137.6551', 'Explore P: 0.1675')
('Episode: 229', 'Total reward: 1110.0', 'Training loss: 91.0964', 'Explore P: 0.1667')
('Episode: 230', 'Total reward: 520.0', 'Training loss: 179.5211', 'Explore P: 0.1661')
Model Saved
('Episode: 231', 'Total reward: 400.0', 'Training loss: 89.5613', 'Explore P: 0.1655')
('Episode: 232', 'Total reward: 280.0', 'Training loss: 70.8096', 'Explore P: 0.1650')
('Episode: 233', 'Total reward: 1660.0', 'Training loss: 238.6470', 'Explore P: 0.1642')
('Episode: 234', 'Total reward: 640.0', 'Training loss: 259.7916', 'Explore P: 0.1636')
('Episode: 235', 'Total reward: 420.0', 'Training loss: 98.7119', 'Explore P: 0.1631')
Model Saved
('Episode: 236', 'Total reward: 620.0', 'Training loss: 57.8592', 'Explore P: 0.1626')
('Episode: 237', 'Total reward: 1840.0', 'Training loss: 89.2585', 'Explore P: 0.1619')
('Episode: 238', 'Total reward: 560.0', 'Training loss: 92.3310', 'Explore P: 0.1612')
('Episode: 239', 'Total reward: 620.0', 'Training loss: 121.2182', 'Explore P: 0.1605')
('Episode: 240', 'Total reward: 380.0', 'Training loss: 87.0425', 'Explore P: 0.1601')
Model Saved
('Episode: 241', 'Total reward: 400.0', 'Training loss: 56.9824', 'Explore P: 0.1596')
('Episode: 242', 'Total reward: 560.0', 'Training loss: 133.6328', 'Explore P: 0.1590')
('Episode: 243', 'Total reward: 1070.0', 'Training loss: 105.3153', 'Explore P: 0.1583')
('Episode: 244', 'Total reward: 2300.0', 'Training loss: 112.2821', 'Explore P: 0.1576')
('Episode: 245', 'Total reward: 1340.0', 'Training loss: 125.1505', 'Explore P: 0.1569')
Model Saved
('Episode: 246', 'Total reward: 500.0', 'Training loss: 79.3071', 'Explore P: 0.1565')
('Episode: 247', 'Total reward: 2100.0', 'Training loss: 123.6386', 'Explore P: 0.1556')
('Episode: 248', 'Total reward: 260.0', 'Training loss: 79.1865', 'Explore P: 0.1552')
('Episode: 249', 'Total reward: 2140.0', 'Training loss: 106.4569', 'Explore P: 0.1547')
